"id","code","description","name"
"__export__.education_subject_1","Ben","","Bengali"
"__export__.education_subject_2","Eng","","English"
"__export__.education_subject_3","Math","","Mathematics"
"__export__.education_subject_4","Sci","","Science"
"__export__.education_subject_5","Rel","","Religion"
"__export__.education_subject_6","PT","","Physical Training"
